"DAY,N,16,0","MONTH,N,16,0","YEAR,N,16,0","LATITUDE,N,16,8","LONGITUD,N,16,8","STATE,N,16,0","COUNTY,N,16,0","HARM_EV,N,16,0","FATALS,N,16,0","DRUNK_DR,N,16,0"
18,5,2014,32.45945833,-85.61745833,1,87,1,1,1
18,5,2014,32.49666111,-86.533,1,1,42,1,0
19,5,2014,34.24266111,-86.27330278,1,95,32,1,0
20,5,2014,32.94801389,-86.61752222,1,21,12,1,0
20,5,2014,34.02818333,-86.08080833,1,55,10,1,0
21,5,2014,33.69987222,-87.25646944,1,127,1,1,0
23,5,2014,31.99428056,-87.28091111,1,131,35,1,0
24,5,2014,34.7204,-85.83382222,1,71,42,1,1
20,5,2014,33.46040833,-86.10299167,1,121,12,2,1
7,5,2014,33.19659444,-87.56859722,1,125,8,1,0
23,5,2014,32.99653611,-86.75731389,1,21,42,1,0
26,1,2014,33.41270278,-86.80755833,1,73,12,1,1
7,6,2014,31.62621111,-86.82584167,1,35,12,1,0
7,6,2014,34.41095278,-87.80279722,1,59,53,1,0
5,6,2014,33.08306944,-87.13651667,1,7,42,1,0
4,6,2014,33.90809444,-87.32688889,1,127,42,1,1
4,6,2014,33.51944444,-86.67346667,1,73,34,1,0
3,6,2014,34.08561111,-86.11039722,1,55,24,1,1
30,5,2014,31.24038611,-85.48091667,1,69,59,1,0
2,6,2014,33.92454722,-87.60514722,1,127,8,1,0
2,6,2014,34.163725,-85.62469167,1,19,1,1,0
1,6,2014,32.84540278,-86.58476944,1,21,12,1,0
1,6,2014,33.98180556,-86.34072222,1,9,42,1,1
1,6,2014,32.91794167,-86.64562222,1,21,34,1,0
31,5,2014,31.24233056,-85.61677222,1,69,12,1,0
29,5,2014,31.63511111,-85.80788333,1,109,12,1,0
28,5,2014,31.65515,-87.80530556,1,25,42,1,0
24,5,2014,34.90600833,-86.63395,1,89,12,1,0
23,5,2014,33.35025833,-86.53786944,1,117,42,1,1
19,5,2014,31.0279,-85.40685833,1,69,12,1,0
22,5,2014,30.93049167,-87.92537222,1,3,12,1,0
21,5,2014,34.14500833,-86.83072778,1,43,12,1,0
18,5,2014,33.54331389,-86.87405833,1,73,42,1,0
12,5,2014,33.21843333,-87.44221944,1,125,34,1,0
2,5,2014,30.37363056,-87.48053611,1,3,18,1,0
2,5,2014,31.7906,-87.73531944,1,25,1,1,0
16,4,2014,30.39941944,-87.68330556,1,3,12,1,1
28,5,2014,33.57557222,-86.71581389,1,73,8,1,0
29,5,2014,33.52109722,-86.84837778,1,73,12,2,1
31,5,2014,31.50786389,-87.44810833,1,99,12,3,1
3,6,2014,32.50298056,-87.79954167,1,91,1,1,1
2,6,2014,32.64268056,-86.75682222,1,1,42,1,0
13,6,2014,33.33978889,-86.91745556,1,73,1,1,0
12,6,2014,33.20747222,-85.41668056,1,111,1,1,1
13,6,2014,34.75141667,-86.64509167,1,89,30,1,1
14,6,2014,33.05567222,-86.14648611,1,37,12,1,0
14,6,2014,32.383025,-85.03585556,1,113,8,1,0
13,6,2014,34.27778333,-86.50863056,1,43,42,1,0
13,6,2014,32.59359444,-85.50675556,1,81,12,1,0
7,6,2014,33.51199444,-86.87548611,1,73,12,1,0
2,6,2014,32.50128333,-85.61179722,1,87,1,1,0
15,6,2014,33.40192778,-86.94945278,1,73,10,1,0
17,6,2014,34.43418333,-87.29273889,1,79,12,1,0
19,6,2014,33.36243889,-86.87973333,1,73,42,1,0
7,6,2014,30.65182778,-87.77463056,1,3,1,1,0
22,6,2014,34.78437778,-87.0028,1,83,42,1,0
31,5,2014,34.89405833,-86.86567778,1,83,12,1,1
5,6,2014,34.4829,-86.20788333,1,95,35,1,1
7,6,2014,30.56026389,-88.20584722,1,97,12,1,1
7,6,2014,33.86378611,-86.65548333,1,9,1,1,1
8,6,2014,30.35600833,-87.79111944,1,3,34,1,1
18,6,2014,31.856975,-85.7422,1,109,42,1,0
20,6,2014,34.31338333,-88.04690833,1,93,1,1,0
21,6,2014,31.72849444,-85.92761389,1,109,1,1,1
2,6,2014,34.94383611,-87.73935833,1,77,35,1,1
21,6,2014,30.71138889,-88.081075,1,97,59,1,0
24,6,2014,34.44359444,-87.09095,1,103,8,1,0
25,6,2014,34.71615833,-87.68793333,1,33,12,1,0
12,6,2014,33.53703333,-86.97516944,1,73,42,1,0
17,6,2014,33.35313333,-87.12090556,1,73,35,1,0
17,5,2014,30.37026944,-87.60325556,1,3,12,1,1
20,6,2014,30.49440278,-88.33636944,1,97,8,1,0
20,6,2014,33.18916389,-86.78388333,1,117,12,1,0
18,6,2014,31.03662222,-88.02417778,1,97,8,1,0
21,6,2014,30.71308056,-88.22550278,1,97,12,1,0
24,6,2014,33.38377778,-86.80847222,1,73,12,1,0
28,6,2014,34.02852778,-86.11938333,1,55,8,1,0
24,6,2014,33.38481944,-86.805525,1,73,1,2,0
18,4,2014,34.68500556,-87.30896944,1,79,12,1,0
4,5,2014,32.99755556,-87.63157778,1,65,10,1,0
1,6,2014,30.73918333,-88.26019444,1,97,12,1,0
15,6,2014,33.60743333,-86.95825,1,73,12,1,0
