"DAY,N,16,0","MONTH,N,16,0","YEAR,N,16,0",,"LATITUDE,N,16,8","LONGITUD,N,16,8","STATE,N,16,0","COUNTY,N,16,0","FATALS,N,16,0","DRUNK_DR,N,16,0"
8,5,2013,,34.92233056,-85.74433333,1,71,1,0
10,5,2013,,34.34094167,-85.82705556,1,49,1,1
10,5,2013,,32.57260833,-87.83543889,1,63,1,0
13,5,2013,,34.66881389,-86.57327778,1,89,1,0
11,5,2013,,32.42423333,-85.68948333,1,87,1,1
29,5,2013,,31.46000556,-88.23451389,1,129,1,0
26,4,2013,,33.24884167,-87.13705,1,125,2,0
23,4,2013,,33.58402778,-86.66961667,1,73,1,0
22,4,2013,,33.53406389,-86.86096389,1,73,1,0
5,5,2013,,33.48153056,-86.86391389,1,73,2,0
9,5,2013,,31.65693333,-86.768975,1,13,1,0
9,5,2013,,34.27008611,-85.61316111,1,19,1,1
13,5,2013,,33.16841944,-87.5198,1,125,1,0
14,5,2013,,34.28194722,-86.22129167,1,95,1,0
14,5,2013,,34.68462778,-87.56410278,1,33,2,0
15,5,2013,,33.28313333,-85.89443056,1,27,1,0
17,5,2013,,32.70218333,-88.15270278,1,119,1,1
9,5,2013,,34.15543056,-86.82601667,1,43,1,0
16,5,2013,,33.46886944,-86.07645278,1,121,1,0
15,5,2013,,32.92752222,-87.826925,1,63,4,1
20,5,2013,,31.24945,-85.34371944,1,69,1,1
18,5,2013,,33.20075556,-87.58026111,1,125,1,0
20,5,2013,,30.91323611,-87.71627222,1,3,1,1
21,5,2013,,30.75519444,-88.21263611,1,97,1,0
23,5,2013,,32.59177222,-85.19520556,1,81,1,0
24,5,2013,,30.59533611,-88.153625,1,97,1,0
24,5,2013,,34.68343611,-86.48478333,1,89,1,0
24,5,2013,,34.79120556,-87.02759167,1,83,2,0
24,5,2013,,33.900625,-85.67017222,1,15,1,1
25,5,2013,,33.64561667,-85.46628333,1,29,1,0
25,5,2013,,33.93228333,-86.79607222,1,9,1,0
28,5,2013,,34.64619167,-86.53993056,1,89,1,0
31,5,2013,,33.24046944,-86.85471111,1,117,1,0
1,6,2013,,33.86478333,-88.01590556,1,75,1,1
1,6,2013,,32.65393611,-86.16463056,1,51,1,0
2,6,2013,,32.59341944,-86.02688056,1,51,1,0
23,5,2013,,34.60548056,-86.07381944,1,71,1,0
30,5,2013,,33.53962222,-86.70077778,1,73,1,0
28,5,2013,,30.60385556,-87.83296389,1,3,1,0
30,5,2013,,32.92868333,-85.39546667,1,17,1,0
31,5,2013,,33.88859722,-87.28087222,1,127,3,0
31,5,2013,,33.11611944,-87.55125833,1,125,1,1
15,6,2013,,30.6942,-88.12548889,1,97,1,0
1,6,2013,,31.62760833,-87.84470278,1,25,1,0
1,6,2013,,33.35962778,-87.94518889,1,107,2,1
2,6,2013,,32.37617222,-87.09450833,1,47,1,1
3,6,2013,,31.21008889,-85.46555278,1,69,1,0
3,6,2013,,33.17135556,-87.54648889,1,125,1,0
2,6,2013,,30.48676944,-88.29325833,1,97,1,1
5,6,2013,,31.25170556,-85.29029167,1,69,1,1
6,6,2013,,34.76943056,-86.61671111,1,89,1,0
7,6,2013,,34.6242,-85.79356667,1,71,1,0
8,6,2013,,30.56506667,-88.19519167,1,97,1,0
8,6,2013,,33.29484444,-86.12804444,1,121,1,0
8,6,2013,,31.23040833,-85.1671,1,69,2,0
12,6,2013,,30.99777778,-87.687675,1,3,1,0
12,6,2013,,30.36500556,-88.13028333,1,97,1,0
12,6,2013,,34.41687778,-87.161525,1,79,1,0
13,6,2013,,31.51766111,-86.09946111,1,31,1,1
14,6,2013,,31.79321944,-85.75709167,1,109,1,0
14,6,2013,,34.36798611,-86.90725833,1,103,1,0
14,6,2013,,34.961575,-86.79435556,1,83,1,0
16,6,2013,,32.16034167,-86.63820556,1,85,1,2
16,6,2013,,30.730975,-88.06314722,1,97,2,0
10,6,2013,,33.96013611,-85.42032222,1,19,1,0
8,6,2013,,32.38637222,-86.25103056,1,101,1,1
13,6,2013,,30.26975278,-87.66270278,1,3,1,1
20,6,2013,,34.80912222,-85.86043056,1,71,1,0
9,6,2013,,32.30998611,-86.36895556,1,101,1,2
9,6,2013,,32.29428611,-85.17834167,1,113,3,0
12,5,2013,,33.50928889,-86.88048611,1,73,1,0
10,6,2013,,33.35395,-86.17923889,1,121,2,0
12,6,2013,,32.38652778,-85.99555278,1,87,1,0
14,6,2013,,31.64740278,-87.70867222,1,25,3,1
15,6,2013,,30.67615,-88.08614167,1,97,1,0
15,6,2013,,33.68835833,-85.44909167,1,29,2,1
16,6,2013,,32.23186389,-86.53624444,1,85,1,1
16,6,2013,,32.73694444,-86.06901944,1,51,1,1
16,6,2013,,32.51265278,-88.3164,1,119,2,0
16,6,2013,,33.35148056,-86.83234167,1,73,1,0
22,6,2013,,33.23049722,-85.77363056,1,27,1,1
23,6,2013,,33.60928889,-87.35065833,1,127,1,0
13,6,2013,,33.68179722,-86.69185556,1,73,1,0
2,6,2013,,33.47963333,-86.62125833,1,73,3,1
8,6,2013,,33.47660556,-86.82791944,1,73,1,0
26,4,2013,,32.97848889,-86.69331944,1,21,1,1
23,5,2013,,34.44915833,-86.90593333,1,103,1,1
29,6,2013,,33.96557222,-87.91660833,1,93,1,0
1,7,2013,,34.65935556,-85.70086944,1,49,2,0
10,5,2013,,34.10890833,-85.56807222,1,19,3,0
